[framework] 2011-11-04 16:08:41,592 - com.my.Server -0    [main] INFO  com.my.Server  - initiating connection
[framework] 2011-11-04 16:10:19,348 - com.my.Server -0    [main] INFO  com.my.Server  - initiating connection
[framework] 2011-11-04 16:10:19,352 - com.my.Server -4    [main] INFO  com.my.Server  - connection established
[framework] 2011-11-04 16:12:57,287 - com.my.Server -0    [main] INFO  com.my.Server  - initiating connection
[framework] 2011-11-04 16:12:57,290 - com.my.Server -3    [main] INFO  com.my.Server  - connection established
[framework] 2011-11-04 16:14:02,559 - com.my.Server -0    [main] INFO  com.my.Server  - initiating connection
[framework] 2011-11-04 16:19:11,213 - com.my.Server -0    [main] INFO  com.my.Server  - initiating connection
[framework] 2011-11-04 16:19:24,733 - com.my.Server -0    [main] INFO  com.my.Server  - initiating connection
[framework] 2011-11-04 16:39:36,409 - com.my.Server -0    [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,421 - com.my.Server -12   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,421 - com.my.Server -12   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,422 - com.my.Server -13   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,423 - com.my.Server -14   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,424 - com.my.Server -15   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,424 - com.my.Server -15   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,426 - com.my.Server -17   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,426 - com.my.Server -17   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,430 - com.my.Server -21   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,433 - com.my.Server -24   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,434 - com.my.Server -25   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,435 - com.my.Server -26   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,435 - com.my.Server -26   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,436 - com.my.Server -27   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,437 - com.my.Server -28   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,437 - com.my.Server -28   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,440 - com.my.Server -31   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,441 - com.my.Server -32   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,442 - com.my.Server -33   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,443 - com.my.Server -34   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,443 - com.my.Server -34   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,444 - com.my.Server -35   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,444 - com.my.Server -35   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,445 - com.my.Server -36   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,446 - com.my.Server -37   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,447 - com.my.Server -38   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,448 - com.my.Server -39   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,448 - com.my.Server -39   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,449 - com.my.Server -40   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,450 - com.my.Server -41   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,451 - com.my.Server -42   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,452 - com.my.Server -43   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,452 - com.my.Server -43   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,453 - com.my.Server -44   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,454 - com.my.Server -45   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,455 - com.my.Server -46   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,455 - com.my.Server -46   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,456 - com.my.Server -47   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,456 - com.my.Server -47   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,457 - com.my.Server -48   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,457 - com.my.Server -48   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,458 - com.my.Server -49   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,458 - com.my.Server -49   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,459 - com.my.Server -50   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,460 - com.my.Server -51   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,460 - com.my.Server -51   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,461 - com.my.Server -52   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,462 - com.my.Server -53   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,463 - com.my.Server -54   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,464 - com.my.Server -55   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,465 - com.my.Server -56   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,466 - com.my.Server -57   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,466 - com.my.Server -57   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,467 - com.my.Server -58   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,468 - com.my.Server -59   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,470 - com.my.Server -61   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,471 - com.my.Server -62   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,472 - com.my.Server -63   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,472 - com.my.Server -63   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,473 - com.my.Server -64   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
